Date,Location,Aboard,Fatalities
1932-01-21,"Colvin Park, Ilinois",1,1
1932-01-29,"Lebec, California",8,8
1932-02-01,"Off Miami, Florida",5,5
1932-02-02,"Marcellus, Michigan",1,1
1932-02-02,"Rio Vista, California",2,1
1932-02-27,"Off Setiba, Brazil",3,3
1932-03-08,"Saint Louis, Illinois",5,2
1932-03-19,"Calimesa, California",7,7
1932-03-21,"Steubenville, Ohio",1,1
1932-03-29,Syria,3,3
1932-03-31,"Bedford, Ohio",1,1
1932-04-21,"Fort Wayne, Indiana",1,1
1932-05-03,"Portland, Oregon",2,2
1932-05-16,"Burbank, California",3,3
1932-07-16,"Mount El Plomo, near Vitacura, Chile",9,9
1932-08-12,"Beyrouth, Lebanon",7,1
1932-08-30,"Tubergen, Germany",2,2
1932-09-08,"Salt Flats, Texas",4,3
1932-09-17,"Selsdon Park, England",2,1
1932-09-18,"Byron Bay, Australia",3,3
1932-10-12,"Port Etienne, Mauritania",1,1
1932-10-26,"Villa Monte, Bolivia",2,2
1932-10-29,"Ramsgate, England",2,2
1932-11-02,"Echterpfuhl, Germany",5,5
1932-11-25,"Marianna, Arkansas",2,2
1932-12-14,"Amarillo, Texas",2,2
1932-12-14,"Rocky Ridge, Colorado",1,1
1932-12-26,"Wau, Australia",2,2
1933-01-10,Algiers,1,1
1933-01-14,"Newark, New Jersey",2,2
1933-01-20,"Marietta, Georgia",1,1
1933-01-20,"Bourne, Texas",1,1
1933-01-24,"Eugene, Oregon",3,1
1933-03-11,"Near Mendoza, Argentina",2,2
1933-03-25,"Hayward, California",3,3
1933-03-28,"Near Dixmude, Belgium",15,15
1933-04-03,"Hemkenrode, Germany",2,1
1933-04-04,"Off Barnegat, New Jersey",76,73
1933-04-23,"Mt. Terrione, Italy",6,6
1933-04-29,"Traunstein, Germany",4,4
1933-05-09,"Viladrau, Spain",6,6
1933-06-02,"Bowling Green, Virginia",1,1
1933-08-29,"Quay, New Mexico",5,5
1933-09-12,"Ljubljana, Yugoslavia",8,8
1933-10-10,"Chesterton, Indiana",10,10
1933-10-31,"Etobon, France",2,2
1933-11-09,"Portland, Oregon",9,4
1933-11-10,"Moriarty, New Mexico",1,1
1933-11-20,"Near Tsinan, China",8,8
1933-11-21,"Near Kharkov, Ukraine, USSR",20,14
1933-11-24,"Wedron, Illinois",2,2
1933-12-11,"Hamburg, Germany",8,7
1933-12-14,"Eshowe, South Africa",6,4
1933-12-30,"Near Ruysselede, Belgium",10,10
1934-01-15,"Corbigny, France",14,14
1934-01-20,"Carombe, France",2,2
1934-02-23,"Near Salt Lake City, Utah",8,8
1934-02-26,"Rio de Oro, Morocco",6,1
1934-03-06,"Petersburg, Illinois",4,4
1934-03-10,"Pereira, Colombia",6,5
1934-03-22,"Near Lima, Peru",15,3
1934-04-10,"Ningpo Bay, China",3,3
1934-05-09,English Channel,6,6
1934-05-31,"Croydon, England",2,2
1934-06-09,"Mongaup Mountain, New York",7,7
1934-06-11,"Junin, Argentina",10,5
1934-06-22,"Chausseehausen, Germany",7,1
1934-06-23,"Burbank, California",1,1
1934-07-09,"San Bernardino, California",4,3
1934-07-27,"Near Tuttlingen, Germany",12,12
1934-08-05,"Bahia, Brazil",2,2
1934-08-10,"Ningbo, China",,
1934-08-31,"Amazonia, Missouri",5,5
1934-10-03,"Near Winton, Australia",3,3
1934-10-19,"Bass Strait, Australia",11,11
1934-11-02,"Kiapit, Australia",4,2
1934-11-15,"Near Longreach, Australia",4,4
1934-11-15,"Near Longreach, NSW, Australia",4,4
1934-11-15,"Amazonia, Montana",2,2
1934-12-07,"Salchau, Germany",3,3
1934-12-08,"Columbia, Missouri",1,1
1934-12-10,"Palma Soriano, Cuba",8,4
1934-12-20,"Rutbah Wells, Syria",7,7
1934-12-22,"Sunbright, Tennessee",1,1
1935-01-26,"Pittsburgh, Pennsylvania",1,1
1935-01-31,"Stettin, Germany",11,11
1935-03-07,"Schievelbein, Germany",,3
1935-03-15,"El Arish, Egypt",6,3
1935-03-29,"Off Samland, Germany",5,5
1935-04-01,"Beauvais, France",3,1
1935-04-06,"Brilon, Germany",7,7
1935-05-01,"Near Walsenberg, Colorado",1,1
1935-05-06,"Atlanta, Missouri",14,5
1935-05-18,"Flint, Michigan",12,3
1935-05-18,"Near Moscow, Russia",50,50
1935-05-27,"Glendo, Wyoming",1,1
1935-05-28,"Maywood, Illinois",2,2
1935-05-29,"San Barbra, Honduras",9,6
1935-06-24,"Medellin, Colombia",20,17
1935-07-14,"Amsterdam, Netherlands",20,6
1935-07-19,"Off Chandeleur Island, Mississippi",2,2
1935-07-20,"Pian Giacomo, Switzerland",13,13
1935-08-13,"Hangow, China",,
1935-08-14,"Near Gilmer, Texas",4,4
1935-08-15,"Near Glendo, Wyoming",3,3
1935-08-15,"Walakpa, near Point Barrow, Alaska",2,2
1935-09-01,"Burbank, California",3,3
1935-10-02,"Off Finders Island, Victoria, Australia",5,5
1935-10-07,"Near Cheyenne, Wyoming",12,12
1935-10-09,Gulf of Finland,6,6
1935-10-21,"Troy, New York",6,1
1935-10-30,"Cheyenne, Wyoming",4,4
1935-11-02,"Off Nhambupe, Brazil",4,4
1935-11-09,"Near Juticalpa, Honduras",14,14
1935-11-09,"Near Fort Worth, Texas",1,1
1935-11-11,"Istres, France",3,3
1935-12-04,"Tours, France",2,1
1935-12-10,"Croydon, England",11,11
1935-12-24,"Breslau, Germany",3,3
1935-12-31,"Off Alexandria, Egypt",13,12
1936-01-14,"Goodwin, Arkansas",17,17
1936-01-17,"Near Cordillera, Boliva",13,13
1936-01-21,"Off Ajaccio, Corsica, France",6,6
1936-01-29,"Denton, Texas",6,1
1936-02-15,South AtlantiOcean,4,4
1936-03-05,"Near Tengya, China",6,0
1936-03-26,"Amemeca, Mexico",14,14
1936-04-01,"Pavillon, New York",2,2
1936-04-07,"Uniontown, Pennsylvania",15,13
1936-04-11,"Port of Spain, Trinidad",25,3
1936-04-15,"Near Turin, Italy",7,7
1936-04-17,Switzerland,5,3
1936-04-21,"Senlis, France",2,2
1936-04-30,"Basel, Switzerland",2,2
1936-05-16,"Mount Waverley, Australia",2,2
1936-06-09,"Malmo, Sweden",15,1
1936-06-13,"Hannover, Germany",6,1
1936-06-16,"Mt. Lihesten, Norway",7,7
1936-07-31,"Off Channel Islands, Jersey",7,7
1936-08-02,"Mazamet, France",3,3
1936-08-03,Mexico,1,1
1936-08-05,"St. Louis, Missouri",8,8
1936-08-06,"Choco, Colombia",2,2
1936-08-12,"Altenkirchen, Germany",2,2
1936-08-22,"Mirabella, Greece",11,2
1936-09-25,English Channel,2,2
1936-09-28,"Walsenberg, Colorado",3,3
1936-09-29,"Napierville, Illinois",4,4
1936-10-06,Mexico,1,1
1936-10-09,,1,1
1936-11-01,"Near Tabarz, Germany",15,11
1936-11-06,Near Moscow,9,9
1936-11-17,"Nurnberg, Germany",16,4
1936-11-19,"London, England",4,2
1936-12-04,"Near Grenoble, France",6,6
1936-12-07,"Off Dakar, French West Africa",5,5
1936-12-09,"Croydon, England",17,15
1936-12-15,"Near Salt Lake City, Utah",7,7
1936-12-18,"Kellogg, Idaho",2,2
1936-12-19,"Near Milford, Pennsylvania",14,14
1936-12-23,"Near Dallas, Texas",6,6
1936-12-26,"Nanking, China",,
1936-12-27,"Newhall, California",12,12
1937-01-12,"Near Newhall, California",13,5
1937-01-26,"Oran, Algeria",12,12
1937-02-09,"Off San Francisco, California",11,11
1937-02-19,"McPherson Ranges, Queensland, Australia",7,5
1937-03-12,"Bathurst, Gambia",4,4
1937-03-24,"Near Ouroux, France",6,5
1937-03-25,"Clifton, Pennsylvania",13,13
1937-03-26,"Wetnum, Germany",6,2
1937-05-06,"Lakehurst, New Jersey",97,35
1937-05-20,"Stuttgart, Germany",4,4
1937-07-02,"Off Lae, New Guinea",2,2
1937-07-28,"Hal, Belgium",15,15
1937-08-02,"Wadi Halfa, Sudan",9,9
1937-08-03,"Off Cristobal, Panama",14,14
1937-08-08,"Chilang Point, Bias Bay, China",11,3
1937-08-10,"Daytona Beach, Florida",9,4
1937-08-23,"San Luis, Argentina",3,3
1937-08-27,"Wau, Australia",2,1
1938-03-23,"Corsavy, France",8,8
1937-10-01,"Phaleron Bay, Greece",14,2
1937-10-06,"Palembang, Netherlands Indies",5,4
1937-10-17,"Haydens Peak, Wyoming",19,19
1937-11-12,"Mannheim, Germany",12,10
1937-11-16,"Ostende, Belgium",11,11
1937-11-26,"Croydon, London",3,3
1937-12-05,"Brindisi Harbor, Italy",19,2
1937-12-08,"Saint Sauveur, France",7,2
1937-12-24,"Kasperske Hory, Czechoslovakia",3,3
1938-01-04,"Frankfurt, Germany",6,6
1938-01-10,"Bozeman, Montana",10,10
1938-01-11,"Pago Pago, U.S. Samoa",7,7
1938-01-12,"North Pine, Ontario, Canada",1,1
1938-02-02,"Off San Clemente Island, California",14,11
1938-02-05,"Kandalaksha, Russia",19,13
1938-02-09,"Marseille, France",12,8
1938-02-09,"Guadalupe, Mexico",2,2
1938-02-22,"Pontoise, France",3,3
1938-03-01,"Near Wawona, Cailifornia",9,9
1938-03-07,"Datia, India",7,7
1938-03-08,"Somerton, Australia",1,1
1938-04-12,"Near Formia, Italy",19,19
1938-05-05,"Balbuena, Mexico",6,1
1938-05-10,"Mangere, New Zealand",2,2
1938-05-16,"Near Saugus, California",9,9
1938-05-22,"Sao Paulo, Brazil",17,2
1938-05-24,"Cleveland, Ohio",10,10
1938-05-27,Germany,3,3
1938-05-27,"Alberno Canal, BC, Canada",1,1
1938-06-08,Tanganyika,3,3
1938-06-19,"Mount  Mercedario, Chile",4,4
1938-07-08,"Billings, Montana",10,10
1938-07-14,"Off Sardinia, Italy",20,20
1938-07-22,"Stulpica, Romania",14,14
1938-07-24,Near Bogota Colombia,1,1
1938-07-27,"Kisumu, Kenya",4,4
1938-07-29,PacifiOcean between Manila and Guam,15,15
1938-08-10,"Shishijima, Japan",6,6
1938-08-10,"Debrecen, Hungary",12,12
1938-08-13,"Kiel, Germany",17,16
1938-08-15,"Guanabara, Brazil",9,9
1938-08-18,"Bucharest, Romania",7,7
1938-08-18,"Montnago, Italy",13,13
1938-08-24,"Wangmoon, China",17,14
1938-08-29,"Innisfail, Australia",9,5
1938-10-01,"Off Bathurst, Gambia",4,4
1938-10-01,"Grisons, Switzerland",13,13
1938-10-10,"Soest, Germany",20,20
1938-10-25,"Mt. Dandenong, Australia",18,18
1938-11-02,"Somerset, England",2,2
1938-11-04,"Channel Islands, Jersey",14,14
1938-11-14,"Schiphol, Amsterdam",19,6
1938-11-18,"Regina, Saskatchewan, Canada",2,2
1938-11-26,"Bathurst, Gambia",15,11
1938-11-27,"Bagdad, Iraq",6,4
1938-11-29,"Off Point Reyes, California",7,7
1938-12-08,"Off Kubashima, Japan",12,10
1938-12-09,"Amsterdam, Netherlands",4,4
1938-12-12,"Darwin, Australia",13,13
1939-01-07,"Paris, France",9,5
1939-01-13,"Miles City, Montana",4,4
1939-01-13,"Rio de Janeiro, Brazil",9,9
1939-01-18,"Katherine, Australia",4,4
1939-01-21,AtlantiOcean between N.Y. and Bermuda,13,3
1939-02-24,Mediterranean Sea,10,10
1939-03-14,"Haren, Belgium",3,3
1939-03-16,"Manzanares, Colombia",8,8
1939-03-18,"Near Adler, Washington",10,10
1940-08-09,"Hannover, Germany",13,2
1941-06-03,AtlantiOcean,6,6
1939-03-26,"Oklahoma City, Oklahoma",12,8
