Date,Close/Last,Volume,Open,High,Low
2018-02-01,94,46866010,$94.79 ,$96.07 ,$93.58 
2018-02-02,92,47484680,$93.64 ,$93.97 ,$91.50 
2018-02-05,88,50588980,$90.56 ,$93.24 ,$88 
2018-02-06,91,67970920,$86.89 ,$91.48 ,$85.25 
2018-02-07,90,41082380,$90.49 ,$91.77 ,$89.20 
2018-02-08,85,55247060,$89.71 ,$89.88 ,$84.76 
2018-02-09,88,63470240,$86.30 ,$88.93 ,$83.83 
2018-02-12,89,35657250,$88.74 ,$89.78 ,$87.93 
2018-02-13,90,26320030,$88.93 ,$90 ,$87.80 
2018-02-14,91,34825510,$88.51 ,$90.99 ,$88.41 
2018-02-15,93,27523410,$91.21 ,$92.72 ,$90.62 
2018-02-16,92,30580470,$92.45 ,$93.50 ,$91.80 
2018-02-20,93,30325530,$91.48 ,$93.06 ,$91.01 
2018-02-21,91,26664100,$92.98 ,$93.36 ,$91.49 
2018-02-22,92,23613350,$92.05 ,$92.73 ,$91.36 
2018-02-23,94,26294200,$92.75 ,$94.07 ,$92.36 
2018-02-26,95,30167890,$94.40 ,$95.45 ,$94.25 
2018-02-27,94,25842000,$95.74 ,$95.84 ,$94.20 
2018-02-28,94,30011960,$94.84 ,$95.71 ,$93.63 
2018-03-01,93,36979700,$93.99 ,$94.57 ,$91.84 
2018-03-02,93,32815660,$91.58 ,$93.15 ,$90.86 
2018-03-05,94,23787950,$92.34 ,$94.27 ,$92.26 
2018-03-06,93,21884540,$94.34 ,$94.49 ,$92.94 
2018-03-07,94,26458530,$93.16 ,$93.94 ,$92.43 
2018-03-08,94,26957790,$94.27 ,$95.10 ,$93.77 
2018-03-09,97,36913460,$95.29 ,$96.54 ,$95 
2018-03-12,97,26042460,$96.50 ,$97.21 ,$96.04 
2018-03-13,94,34794600,$97 ,$97.24 ,$93.97 
2018-03-14,94,31971520,$95.12 ,$95.41 ,$93.50 
2018-03-15,94,27317810,$93.53 ,$94.58 ,$92.83 
2018-03-16,95,49067150,$94.68 ,$95.38 ,$93.92 
2018-03-19,93,32317260,$93.74 ,$93.90 ,$92.11 
2018-03-20,93,22402330,$93.05 ,$93.77 ,$93 
2018-03-21,92,24173600,$92.93 ,$94.05 ,$92.21 
2018-03-22,90,38354400,$91.27 ,$91.75 ,$89.66 
